defined_class	defined_class_label	entity	entity_label	sex	sex_label
FBbt:00001786	male genital primordium (female)	FBbt:00052053	male genital primordium	FBbt:00007011	female organism
FBbt:00001788	female genital primordium (male)	FBbt:00052052	female genital primordium	FBbt:00007004	male organism
FBbt:00047238	adult dorsal posterior Ilp7 (female) neuron	FBbt:00047239	adult dorsal posterior Ilp7 neuron	FBbt:00007011	female organism
FBbt:00049941	descending neuron of the posterior brain DNp13 (male)	FBbt:00047646	descending neuron of the posterior brain DNp13	FBbt:00007004	male organism
FBbt:00049942	descending neuron of the posterior brain DNp13 (female)	FBbt:00047646	descending neuron of the posterior brain DNp13	FBbt:00007011	female organism
FBbt:00050009	neuroblast BAmas2 (male)	FBbt:00100556	neuroblast BAmas2	FBbt:00007004	male organism
FBbt:00050010	adult BAmas2 (male) lineage clone	FBbt:00047123	adult BAmas2 lineage clone	FBbt:00007004	male organism
FBbt:00050041	neuroblast SMPad1 (female)	FBbt:00049463	neuroblast SMPad1	FBbt:00007011	female organism
FBbt:00050042	adult SMPad1 (female) lineage clone	FBbt:00049464	adult SMPad1 lineage clone	FBbt:00007011	female organism
FBbt:00050148	neuroblast BAmd1 (female)	FBbt:00100551	neuroblast BAmd1	FBbt:00007011	female organism
FBbt:00050149	adult CREa1 (female) lineage clone	FBbt:00049461	adult CREa1 lineage clone	FBbt:00007011	female organism
FBbt:00050178	neuroblast BAmas2 (female)	FBbt:00100556	neuroblast BAmas2	FBbt:00007011	female organism
FBbt:00050179	adult BAmas2 (female) lineage clone	FBbt:00047123	adult BAmas2 lineage clone	FBbt:00007011	female organism
FBbt:00050243	neuroblast SMPad1 (male)	FBbt:00049463	neuroblast SMPad1	FBbt:00007004	male organism
FBbt:00050244	adult SMPad1 (male) lineage clone	FBbt:00049464	adult SMPad1 lineage clone	FBbt:00007004	male organism
FBbt:00050246	neuroblast BAmd1 (male)	FBbt:00100551	neuroblast BAmd1	FBbt:00007004	male organism
FBbt:00050247	adult CREa1 (male) lineage clone	FBbt:00049461	adult CREa1 lineage clone	FBbt:00007004	male organism
FBbt:00051201	adult aSP22 (male) descending neuron	FBbt:00051200	adult aSP22 descending neuron	FBbt:00007004	male organism
FBbt:00051202	adult aSP22 (female) descending neuron	FBbt:00051200	adult aSP22 descending neuron	FBbt:00007011	female organism
FBbt:00051253	adult doublesex aDN (male) neuron	FBbt:00047354	adult doublesex aDN neuron	FBbt:00007004	male organism
FBbt:00051254	adult doublesex aDN (female) neuron	FBbt:00047354	adult doublesex aDN neuron	FBbt:00007011	female organism
FBbt:00052055	female genital primordium (female)	FBbt:00052052	female genital primordium	FBbt:00007011	female organism
FBbt:00052056	male genital primordium (male)	FBbt:00052053	male genital primordium	FBbt:00007004	male organism
FBbt:00110417	adult fruitless aDT-b (female) neuron	FBbt:00052693	adult fruitless aDT-b neuron	FBbt:00007011	female organism
FBbt:00110421	adult fruitless aDT-d (female) neuron	FBbt:00052694	adult fruitless aDT-d neuron	FBbt:00007011	female organism
FBbt:00110423	adult fruitless aDT-e (female) neuron	FBbt:00052692	adult fruitless aDT-e neuron	FBbt:00007011	female organism
FBbt:00110433	adult fruitless aIP-b (female) neuron	FBbt:00052695	adult fruitless aIP-b neuron	FBbt:00007011	female organism
FBbt:00110435	adult fruitless aIP-c (female) neuron	FBbt:00052691	adult fruitless aIP-c neuron	FBbt:00007011	female organism
FBbt:00110437	adult fruitless aIP-d (female) neuron	FBbt:00052696	adult fruitless aIP-d neuron	FBbt:00007011	female organism
FBbt:00110439	adult fruitless aIP-e (female) neuron	FBbt:00052697	adult fruitless aIP-e neuron	FBbt:00007011	female organism
FBbt:00110443	adult fruitless aIP-g (female) neuron	FBbt:00052698	adult fruitless aIP-g neuron	FBbt:00007011	female organism
FBbt:00110449	adult fruitless aSP-a (female) neuron	FBbt:00052699	adult fruitless aSP-a neuron	FBbt:00007011	female organism
FBbt:00110451	adult fruitless aSP-b (female) neuron	FBbt:00052700	adult fruitless aSP-b neuron	FBbt:00007011	female organism
FBbt:00110458	adult fruitless aSP-f (female) lineage clone	FBbt:00051306	adult fruitless aSP-f lineage clone	FBbt:00007011	female organism
FBbt:00110459	adult fruitless aSP-f (female) neuron	FBbt:00051305	adult fruitless aSP-f neuron	FBbt:00007011	female organism
FBbt:00110460	adult fruitless aSP-g (female) lineage clone	FBbt:00049715	adult fruitless aSP-g lineage clone	FBbt:00007011	female organism
FBbt:00110461	adult fruitless aSP-g (female) neuron	FBbt:00049909	adult fruitless aSP-g neuron	FBbt:00007011	female organism
FBbt:00110463	adult fruitless aSP-h (female) neuron	FBbt:00052701	adult fruitless aSP-h neuron	FBbt:00007011	female organism
FBbt:00110465	adult fruitless aSP-i (female) neuron	FBbt:00052702	adult fruitless aSP-i neuron	FBbt:00007011	female organism
FBbt:00110469	adult fruitless aSP-k (female) neuron	FBbt:00052703	adult fruitless aSP-k neuron	FBbt:00007011	female organism
FBbt:00110479	adult fruitless pIP-a (female) neuron	FBbt:00052705	adult fruitless pIP-a neuron	FBbt:00007011	female organism
FBbt:00110487	adult fruitless pIP-e (female) neuron	FBbt:00052706	adult fruitless pIP-e neuron	FBbt:00007011	female organism
FBbt:00110493	adult fruitless pIP-h (female) neuron	FBbt:00052715	adult fruitless pIP-h neuron	FBbt:00007011	female organism
FBbt:00110499	adult fruitless pMP-a (female) neuron	FBbt:00052707	adult fruitless pMP-a neuron	FBbt:00007011	female organism
FBbt:00110501	adult fruitless pMP-b (female) neuron	FBbt:00052708	adult fruitless pMP-b neuron	FBbt:00007011	female organism
FBbt:00110503	adult fruitless pMP-c (female) neuron	FBbt:00052709	adult fruitless pMP-c neuron	FBbt:00007011	female organism
FBbt:00110507	adult fruitless pMP-e (female) neuron	FBbt:00052710	adult fruitless pMP-e neuron	FBbt:00007011	female organism
FBbt:00110509	adult fruitless pMP-f (female) neuron	FBbt:00052711	adult fruitless pMP-f neuron	FBbt:00007011	female organism
FBbt:00110525	adult fruitless pSP-b (female) neuron	FBbt:00052712	adult fruitless pSP-b neuron	FBbt:00007011	female organism
FBbt:00110555	adult fruitless aSP4 (male) neuron	FBbt:00052704	adult fruitless aSP4 neuron	FBbt:00007004	male organism
FBbt:00110579	adult fruitless aDT-b (male) neuron	FBbt:00052693	adult fruitless aDT-b neuron	FBbt:00007004	male organism
FBbt:00110581	adult fruitless aDT-d (male) neuron	FBbt:00052694	adult fruitless aDT-d neuron	FBbt:00007004	male organism
FBbt:00110583	adult fruitless aDT-e (male) neuron	FBbt:00052692	adult fruitless aDT-e neuron	FBbt:00007004	male organism
FBbt:00110585	adult fruitless aIP-b (male) neuron	FBbt:00052695	adult fruitless aIP-b neuron	FBbt:00007004	male organism
FBbt:00110587	adult fruitless aIP-c (male) neuron	FBbt:00052691	adult fruitless aIP-c neuron	FBbt:00007004	male organism
FBbt:00110589	adult fruitless aIP-d (male) neuron	FBbt:00052696	adult fruitless aIP-d neuron	FBbt:00007004	male organism
FBbt:00110591	adult fruitless aIP-e (male) neuron	FBbt:00052697	adult fruitless aIP-e neuron	FBbt:00007004	male organism
FBbt:00110593	adult fruitless aIP-g (male) neuron	FBbt:00052698	adult fruitless aIP-g neuron	FBbt:00007004	male organism
FBbt:00110595	adult fruitless aSP-a (male) neuron	FBbt:00052699	adult fruitless aSP-a neuron	FBbt:00007004	male organism
FBbt:00110597	adult fruitless aSP-b (male) neuron	FBbt:00052700	adult fruitless aSP-b neuron	FBbt:00007004	male organism
FBbt:00110598	adult fruitless aSP-f (male) lineage clone	FBbt:00051306	adult fruitless aSP-f lineage clone	FBbt:00007004	male organism
FBbt:00110599	adult fruitless aSP-f (male) neuron	FBbt:00051305	adult fruitless aSP-f neuron	FBbt:00007004	male organism
FBbt:00110600	adult fruitless aSP-g (male) lineage clone	FBbt:00049715	adult fruitless aSP-g lineage clone	FBbt:00007004	male organism
FBbt:00110601	adult fruitless aSP-g (male) neuron	FBbt:00049909	adult fruitless aSP-g neuron	FBbt:00007004	male organism
FBbt:00110603	adult fruitless aSP-h (male) neuron	FBbt:00052701	adult fruitless aSP-h neuron	FBbt:00007004	male organism
FBbt:00110605	adult fruitless aSP-i (male) neuron	FBbt:00052702	adult fruitless aSP-i neuron	FBbt:00007004	male organism
FBbt:00110607	adult fruitless aSP-k (male) neuron	FBbt:00052703	adult fruitless aSP-k neuron	FBbt:00007004	male organism
FBbt:00110609	adult fruitless pIP-a (male) neuron	FBbt:00052705	adult fruitless pIP-a neuron	FBbt:00007004	male organism
FBbt:00110611	adult fruitless pIP-e (male) neuron	FBbt:00052706	adult fruitless pIP-e neuron	FBbt:00007004	male organism
FBbt:00110613	adult fruitless pIP-h (male) neuron	FBbt:00052715	adult fruitless pIP-h neuron	FBbt:00007004	male organism
FBbt:00110615	adult fruitless pMP-a (male) neuron	FBbt:00052707	adult fruitless pMP-a neuron	FBbt:00007004	male organism
FBbt:00110617	adult fruitless pMP-b (male) neuron	FBbt:00052708	adult fruitless pMP-b neuron	FBbt:00007004	male organism
FBbt:00110619	adult fruitless pMP-c (male) neuron	FBbt:00052709	adult fruitless pMP-c neuron	FBbt:00007004	male organism
FBbt:00110621	adult fruitless P1 (male) neuron	FBbt:00052710	adult fruitless pMP-e neuron	FBbt:00007004	male organism
FBbt:00110623	adult fruitless pMP-f (male) neuron	FBbt:00052711	adult fruitless pMP-f neuron	FBbt:00007004	male organism
FBbt:00110625	adult fruitless pSP-b (male) neuron	FBbt:00052712	adult fruitless pSP-b neuron	FBbt:00007004	male organism
FBbt:00110850	adult fruitless vAB3 (female) neuron	FBbt:00052713	adult fruitless vAB3 neuron	FBbt:00007011	female organism
FBbt:00110852	adult fruitless vAB3 (male) neuron	FBbt:00052713	adult fruitless vAB3 neuron	FBbt:00007004	male organism
FBbt:00110860	adult fruitless vPR6 (male) neuron	FBbt:00052714	adult fruitless vPR6 neuron	FBbt:00007004	male organism
FBbt:00111150	adult fruitless vPR6 (female) neuron	FBbt:00052714	adult fruitless vPR6 neuron	FBbt:00007011	female organism
FBbt:00111198	adult fruitless aSP4 (female) neuron	FBbt:00052704	adult fruitless aSP4 neuron	FBbt:00007011	female organism
FBbt:00111305	adult dorsal posterior Ilp7 (male) neuron	FBbt:00047239	adult dorsal posterior Ilp7 neuron	FBbt:00007004	male organism
