ROI	FBbt_id	FBbt_name
a'L(R)	FBbt:00013691	adult mushroom body alpha'-lobe
AL(L)	FBbt:00007401	adult antennal lobe
AL(R)	FBbt:00007401	adult antennal lobe
AME(R)	FBbt:00045003	accessory medulla
AMMC(R)	FBbt:00003982	antennal mechanosensory and motor center
AOTU(L)	FBbt:00007059	anterior optic tubercle
AOTU(R)	FBbt:00007059	anterior optic tubercle
ATL(L)	FBbt:00045039	antler
ATL(R)	FBbt:00045039	antler
AVLP(L)	FBbt:00040043	anterior ventrolateral protocerebrum
AVLP(R)	FBbt:00040043	anterior ventrolateral protocerebrum
CAN(L)	FBbt:00045051	cantle
CAN(R)	FBbt:00045051	cantle
CRE(L)	FBbt:00045037	adult crepine
CRE(R)	FBbt:00045037	adult crepine
EPA(L)	FBbt:00040040	epaulette
EPA(R)	FBbt:00040040	epaulette
FB	FBbt:00003679	fan-shaped body
FLA(R)	FBbt:00045050	flange
GA(R)	FBbt:00040060	gall
gL(R)	FBbt:00013695	adult mushroom body gamma-lobe
GNG	FBbt:00014013	adult gnathal ganglion
GOR(L)	FBbt:00040039	gorget
GOR(R)	FBbt:00040039	gorget
IB	FBbt:00040050	inferior bridge
ICL(L)	FBbt:00040049	inferior clamp
ICL(R)	FBbt:00040049	inferior clamp
IPS(L)	FBbt:00045046	inferior posterior slope
IPS(R)	FBbt:00045046	inferior posterior slope
LAL(L)	FBbt:00003681	adult lateral accessory lobe
LAL(R)	FBbt:00003681	adult lateral accessory lobe
LH(L)	FBbt:00007053	adult lateral horn
LH(R)	FBbt:00007053	adult lateral horn
LO_R_layer_1	FBbt:00003853	lobula layer 1
LO_R_layer_2	FBbt:00003854	lobula layer 2
LO_R_layer_3	FBbt:00003855	lobula layer 3
LO_R_layer_4	FBbt:00003856	lobula layer 4
LO_R_layer_5	FBbt:00111743	lobula layer 5A
LO_R_layer_6	FBbt:00111744	lobula layer 5B
LO_R_layer_7	FBbt:00040017	lobula layer 6
LO(L)	FBbt:00003852	lobula
LO(R)	FBbt:00003852	lobula
LOP_R_layer_1	FBbt:00003886	lobula plate layer 1
LOP_R_layer_2	FBbt:00003887	lobula plate layer 2
LOP_R_layer_3	FBbt:00003888	lobula plate layer 3
LOP_R_layer_4	FBbt:00003889	lobula plate layer 4
LOP(L)	FBbt:00003885	lobula plate
LOP(R)	FBbt:00003885	lobula plate
ME_R_layer_01	FBbt:00003750	medulla layer M1
ME_R_layer_02	FBbt:00003751	medulla layer M2
ME_R_layer_03	FBbt:00003752	medulla layer M3
ME_R_layer_04	FBbt:00003753	medulla layer M4
ME_R_layer_05	FBbt:00003754	medulla layer M5
ME_R_layer_06	FBbt:00003755	medulla layer M6
ME_R_layer_07	FBbt:00003756	medulla serpentine layer
ME_R_layer_08	FBbt:00003758	medulla layer M8
ME_R_layer_09	FBbt:00003759	medulla layer M9
ME_R_layer_10	FBbt:00003760	medulla layer M10
ME(L)	FBbt:00003748	medulla
ME(R)	FBbt:00003748	medulla
OL(R)	FBbt:00003701	adult optic lobe
PED(R)	FBbt:00007453	pedunculus of adult mushroom body
PLP(L)	FBbt:00040044	posterior lateral protocerebrum
PLP(R)	FBbt:00040044	posterior lateral protocerebrum
PVLP(L)	FBbt:00040042	posterior ventrolateral protocerebrum
PVLP(R)	FBbt:00040042	posterior ventrolateral protocerebrum
SAD	FBbt:00045048	saddle
SCL(L)	FBbt:00040048	superior clamp
SCL(R)	FBbt:00040048	superior clamp
SIP(L)	FBbt:00045032	superior intermediate protocerebrum
SIP(R)	FBbt:00045032	superior intermediate protocerebrum
SLP(L)	FBbt:00007054	superior lateral protocerebrum
SLP(R)	FBbt:00007054	superior lateral protocerebrum
SMP(L)	FBbt:00007055	superior medial protocerebrum
SMP(R)	FBbt:00007055	superior medial protocerebrum
SPS(L)	FBbt:00045040	superior posterior slope
SPS(R)	FBbt:00045040	superior posterior slope
VES(L)	FBbt:00040041	vest
VES(R)	FBbt:00040041	vest
WED(L)	FBbt:00045027	wedge
WED(R)	FBbt:00045027	wedge
